Date,Price,Open,High,Low,Vol.,Change %
23/07/2021,1.3572,1.3547,1.3593,1.351,41.80K,0.16%
26/07/2021,1.3546,1.3574,1.3642,1.3529,51.37K,-0.19%
27/07/2021,1.358,1.3539,1.363,1.3533,65.94K,0.25%
28/07/2021,1.3554,1.3584,1.3668,1.3546,81.73K,-0.19%
29/07/2021,1.3519,1.3556,1.359,1.3487,58.71K,-0.26%
30/07/2021,1.3613,1.3525,1.3642,1.3504,57.36K,0.70%
02/08/2021,1.3583,1.3621,1.3647,1.3544,50.02K,-0.22%
03/08/2021,1.3514,1.358,1.3593,1.3496,55.27K,-0.51%
04/08/2021,1.3548,1.3519,1.3569,1.3463,52.13K,0.25%
05/08/2021,1.3503,1.3548,1.3558,1.3484,53.87K,-0.33%
06/08/2021,1.3591,1.35,1.3614,1.3499,50.24K,0.65%
07/08/2021,1.3591,,,,,
09/08/2021,1.3633,1.3589,1.3647,1.357,57.08K,0.31%
10/08/2021,1.3602,1.3633,1.367,1.3592,52.31K,-0.23%
11/08/2021,1.3561,1.3609,1.3657,1.3532,51.33K,-0.30%
12/08/2021,1.3631,1.3561,1.364,1.3555,50.69K,0.52%
13/08/2021,1.3567,1.3633,1.364,1.3546,45.10K,-0.47%
16/08/2021,1.3626,1.3571,1.3664,1.3556,53.17K,0.43%
17/08/2021,1.3787,1.3632,1.3808,1.362,60.45K,1.18%
18/08/2021,1.3826,1.3793,1.3836,1.3754,67.36K,0.28%
19/08/2021,1.399,1.3824,1.4003,1.3805,83.81K,1.19%
20/08/2021,1.4015,1.3992,1.4074,1.3971,70.79K,0.18%
23/08/2021,1.387,1.4032,1.4063,1.3853,51.68K,-1.03%
24/08/2021,1.3776,1.387,1.3889,1.3751,41.20K,-0.68%
25/08/2021,1.3742,1.3778,1.3819,1.3734,54.62K,-0.25%
26/08/2021,1.3812,1.3743,1.3824,1.3735,64.28K,0.51%
27/08/2021,1.3674,1.382,1.3849,1.3666,67.84K,-1.00%
30/08/2021,1.3701,1.368,1.3729,1.3657,40.85K,0.20%
31/08/2021,1.3667,1.3706,1.3722,1.362,63.53K,-0.25%
01/09/2021,1.357,1.3669,1.3685,1.3542,70.75K,-0.71%
02/09/2021,1.3512,1.3575,1.3596,1.3494,61.24K,-0.43%
03/09/2021,1.3405,1.3513,1.3523,1.3371,68.37K,-0.79%
06/09/2021,1.3439,1.3404,1.3467,1.3396,58.10K,0.25%
07/09/2021,1.3532,1.3441,1.3561,1.3388,79.11K,0.69%
08/09/2021,1.3576,1.3539,1.3615,1.3504,78.87K,0.33%
09/09/2021,1.3572,1.3579,1.3612,1.3521,63.54K,-0.03%
10/09/2021,1.3592,1.3572,1.361,1.3493,76.66K,0.15%
13/09/2021,1.3572,1.3589,1.3633,1.3556,60.67K,-0.15%
14/09/2021,1.3661,1.3571,1.3675,1.3559,76.80K,0.66%
15/09/2021,1.3631,1.3656,1.3698,1.3624,66.76K,-0.22%
16/09/2021,1.3716,1.3635,1.3749,1.3611,72.21K,0.62%
17/09/2021,1.3761,1.3715,1.3772,1.3656,58.72K,0.33%
20/09/2021,1.3784,1.3757,1.3851,1.3744,71.86K,0.17%
21/09/2021,1.3826,1.3799,1.3849,1.3728,71.22K,0.30%
22/09/2021,1.3799,1.3831,1.3844,1.3704,83.36K,-0.20%
23/09/2021,1.3704,1.3801,1.3845,1.3668,71.10K,-0.69%
24/09/2021,1.3772,1.3704,1.3821,1.3666,57.09K,0.50%
27/09/2021,1.3723,1.3776,1.3807,1.3707,64.07K,-0.36%
28/09/2021,1.3816,1.3723,1.3841,1.3675,92.86K,0.68%
29/09/2021,1.3928,1.382,1.3948,1.3764,74.27K,0.81%
30/09/2021,1.3835,1.3935,1.3943,1.3777,91.13K,-0.67%
01/10/2021,1.3778,1.3841,1.3905,1.3741,75.50K,-0.41%
04/10/2021,1.3731,1.3767,1.3792,1.3688,73.41K,-0.34%
05/10/2021,1.3712,1.3727,1.3796,1.3693,89.84K,-0.14%
06/10/2021,1.3746,1.3721,1.384,1.3705,89.38K,0.25%
07/10/2021,1.3672,1.375,1.3759,1.3651,69.28K,-0.54%
08/10/2021,1.3676,1.3672,1.3722,1.3625,70.95K,0.03%
11/10/2021,1.36,1.3672,1.3714,1.3562,62.42K,-0.56%
12/10/2021,1.3604,1.3601,1.364,1.354,59.17K,0.03%
13/10/2021,1.355,1.3604,1.3657,1.3544,80.89K,-0.40%
14/10/2021,1.3483,1.3552,1.3566,1.3463,51.73K,-0.49%
15/10/2021,1.3464,1.3484,1.3509,1.3439,63.70K,-0.14%
18/10/2021,1.3492,1.3474,1.3554,1.3443,69.22K,0.21%
19/10/2021,1.3383,1.3491,1.3501,1.3356,63.94K,-0.81%
20/10/2021,1.3303,1.3382,1.3397,1.3291,63.73K,-0.60%
21/10/2021,1.339,1.3306,1.341,1.3249,68.58K,0.65%
22/10/2021,1.3394,1.3392,1.3419,1.331,78.82K,0.03%
25/10/2021,1.3346,1.339,1.3403,1.332,61.39K,-0.36%
26/10/2021,1.3332,1.3349,1.3362,1.3286,63.21K,-0.10%
27/10/2021,1.3298,1.3332,1.3357,1.3269,72.25K,-0.26%
28/10/2021,1.3252,1.3303,1.3371,1.3233,90.27K,-0.35%
29/10/2021,1.3293,1.3254,1.3334,1.3233,83.75K,0.31%
30/10/2021,1.3293,,,,,
31/10/2021,1.3287,,,,,
01/11/2021,1.3287,1.3317,1.336,1.3267,71.66K,-0.05%
02/11/2021,1.3459,1.3289,1.3478,1.3274,85.22K,1.29%
03/11/2021,1.3428,1.3461,1.3491,1.3405,82.87K,-0.23%
04/11/2021,1.351,1.3426,1.3546,1.3384,82.98K,0.61%
05/11/2021,1.3508,1.351,1.3588,1.3489,80.51K,-0.01%
06/11/2021,1.3472,,,,,
